"destination","passanger","weather","temperature","time","coupon","expiration","gender","age","maritalStatus","has_children","education","occupation","income","car","Bar","CoffeeHouse","CarryAway","RestaurantLessThan20","Restaurant20To50","toCoupon_GEQ5min","toCoupon_GEQ15min","toCoupon_GEQ25min","direction_same","direction_opp","Y"
"No Urgent Place","Alone","Snowy",55,"2pm","Restaurant(<20)","1d","Male","46","Single",0,"SOME HIGH SCHOOL","Student","$12500 - $24999","","never","4~8","1~3","1~3","never","1",0,0,0,NA,NA
"No Urgent Place","Friend(s)","Snowy",80,"10am","Coffee House","2h","Male","46","Single",0,"high school graduate","Student","$12500 - $24999","","never","4~8","1~3","1~3","never","1",NA,0,NA,NA,1
"No Urgent Place","Friend(s)","SUNNY",80,"2PM","Bar","1d","Male","46","Single",0,"Some High School","Student","$12500 - $24999","","never","4~8","1~3","1~3","never","1",0,NA,0,1,0
"No Urgent Place",NA,"RAINY",80,"10pm","Carry out & Take away","2h","Male","46","Single",0,"Bachelors Degree","Student","$12500 - $24999","","never","4~8","1~3","1~3",NA,"1",1,0,0,1,1
"No Urgent Place","Friend(s)","Snowy",80,"6pm","Coffee House","1d","Male","46","Single",NA,"SOME HIGH SCHOOL","Student","$12500 - $24999","",NA,"4~8","1~3","1~3","never","1",0,NA,0,1,1
"No Urgent Place","Friend(s)","rainy",80,"10pm","Coffee House","2h","Male","46",NA,0,"bachelors degree","Student","$12500 - $24999","","never","4~8","1~3","1~3","never","1",1,0,0,1,1
"No Urgent Place","Friend(s)","RAINY",80,"7am","Coffee House","1d","Male","46","Single",0,"Associates Degree","Student",NA,"","never","4~8","1~3","1~3","never","0",NA,0,0,1,NA
"No Urgent Place","Friend(s)","rainy",80,"7am","Restaurant(<20)","1d","Male","46","Single",NA,"High School Graduate","Student","$12500 - $24999","","never","4~8","1~3","1~3","never","1",1,0,0,1,NA
NA,"Friend(s)","SNOWY",NA,"10am","Coffee House","2h",NA,"46",NA,NA,"associates degree","Student","$12500 - $24999","","never","4~8","1~3","1~3","never","1",0,0,NA,NA,0
"No Urgent Place","Friend(s)","snowy",80,"2pm",NA,"2h","Male","46","Single",0,"graduate degree (masters or doctorate)","Student","$12500 - $24999","","never","4~8","1~3","1~3","never","1",1,0,0,1,1
"No Urgent Place","Friend(s)","Snowy",55,"10pm","Coffee House","2h","Male","46","Single",0,"Some College - No Degree","Student","$12500 - $24999","","never","4~8","1~3",NA,"never","1",0,0,0,1,1
"No Urgent Place","Friend(s)","Rainy",NA,"7am","Carry out & Take away","1d","Male","46","Single",0,"bachelors degree","Student","$12500 - $24999","","never","4~8",NA,NA,"never","1",1,0,0,1,1
NA,"Alone","Sunny",55,"6pm","Coffee House","2h","Male",NA,"Single",0,"HIGH SCHOOL GRADUATE","Student","$12500 - $24999",NA,"never","4~8","1~3",NA,"never","1",NA,0,0,1,1
"Home","Alone","SNOWY",55,"10AM","Bar","1d","Male","46","Single",NA,"SOME HIGH SCHOOL","Student","$12500 - $24999","","never","4~8","1~3","1~3","never","1",0,0,1,0,0
"Home","Alone","Snowy",NA,"10am","Restaurant(20-50)","1d","Male","46","Single",0,"some high school","Student","$12500 - $24999","","never","4~8",NA,NA,"never","1",NA,0,0,1,NA
NA,"Alone","Sunny",80,"7am","Coffee House","2h","Male","46",NA,NA,"High School Graduate","Student","$12500 - $24999","","never","4~8","1~3","1~3","never","1",0,0,0,1,0
"Work","Alone","Sunny",55,"10pm","Coffee House","2h","Male","46","Single",0,"High School Graduate","Student","$12500 - $24999","","never","4~8","1~3","1~3","never","1",1,1,0,1,0
"Work","Alone","SUNNY",55,"2PM",NA,"1d","Male","46","Single",0,"graduate degree (masters or doctorate)","Student","$12500 - $24999","","never","4~8","1~3","1~3","never","1",1,1,0,1,0
"Work","Alone","Rainy",80,"2pm","Restaurant(20-50)","1d","Male","46","Single",NA,"SOME HIGH SCHOOL",NA,"$12500 - $24999","","never","4~8","1~3","1~3","never","1",1,0,0,1,0
"Work",NA,"sunny",80,"6pm","Carry out & Take away",NA,NA,"46","Single",0,"BACHELORS DEGREE","Student","$12500 - $24999","","never","4~8","1~3","1~3","never","1",0,0,1,0,1
"Work",NA,"Sunny",55,"10pm","Restaurant(<20)","1d",NA,"46",NA,0,"BACHELORS DEGREE","Student",NA,"","never","4~8","1~3","1~3","never","1",0,0,0,1,0
"Work","Alone","Rainy",55,"7AM","Coffee House","2h","Male","46","Single",0,"some college - no degree","Student","$12500 - $24999","","never","4~8","1~3","1~3","never","0",1,0,0,1,0
"No Urgent Place","Alone","SUNNY",55,"6pm","Restaurant(<20)","1d","Male","46","Married partner",1,"High School Graduate","Education&Training&Library","$75000 - $87499","","less1","1~3","1~3","1~3","less1","1",0,0,0,1,1
"No Urgent Place","Friend(s)","Rainy",80,"10am","Coffee House","2h","Male","46","Married partner",1,"Graduate Degree (Masters or Doctorate)","Education&Training&Library","$75000 - $87499","","less1","1~3","1~3","1~3","less1","1",0,0,0,1,1
NA,"Friend(s)","SUNNY",80,"6pm","Carry out & Take away","2h","Male","46","Married partner",1,"high school graduate","Education&Training&Library","$75000 - $87499","","less1","1~3","1~3","1~3",NA,"1",1,0,0,1,1
"No Urgent Place","Friend(s)","Snowy",80,"10am","Coffee House","2h","Male",NA,"Married partner",NA,"ASSOCIATES DEGREE","Education&Training&Library","$75000 - $87499","","less1","1~3","1~3","1~3","less1","1",1,0,0,1,1
"No Urgent Place","Friend(s)","snowy",80,"6pm","Coffee House","1d","Male",NA,"Married partner",1,"bachelors degree","Education&Training&Library","$75000 - $87499","","less1","1~3","1~3","1~3","less1","1",1,0,0,1,1
"No Urgent Place","Friend(s)","snowy",80,"7am",NA,"2h","Male","46",NA,1,"HIGH SCHOOL GRADUATE",NA,"$75000 - $87499","","less1",NA,"1~3","1~3","less1","1",NA,0,0,1,1
"No Urgent Place","Friend(s)","sunny",55,"6PM","Carry out & Take away","1d","Male","46","Married partner",1,"Graduate Degree (Masters or Doctorate)","Education&Training&Library","$75000 - $87499","","less1","1~3","1~3","1~3",NA,"1",1,0,0,1,1
"No Urgent Place",NA,"Rainy",80,"7AM","Restaurant(<20)","2h","Male",NA,"Married partner",1,"Associates Degree","Education&Training&Library","$75000 - $87499","","less1","1~3","1~3","1~3","less1","1",1,0,0,1,1
"No Urgent Place","Kid(s)","rainy",80,"10pm","Carry out & Take away","2h","Male","46","Married partner",1,"bachelors degree","Education&Training&Library","$75000 - $87499","","less1","1~3",NA,"1~3","less1","1",1,0,0,1,1
"No Urgent Place","Kid(s)","rainy",80,"6PM","Bar","1d","Male","46","Married partner",1,"ASSOCIATES DEGREE","Education&Training&Library","$75000 - $87499",NA,"less1","1~3","1~3","1~3","less1","1",1,0,0,1,1
"No Urgent Place","Kid(s)","Snowy",80,"6pm","Restaurant(<20)","1d","Male","46","Married partner",1,"associates degree","Education&Training&Library","$75000 - $87499","","less1","1~3","1~3","1~3","less1","1",NA,0,0,1,1
"No Urgent Place",NA,"SNOWY",55,"10pm","Restaurant(<20)","1d","Male","46",NA,1,"HIGH SCHOOL GRADUATE","Education&Training&Library","$75000 - $87499","","less1","1~3","1~3","1~3","less1","1",1,0,0,1,1
"No Urgent Place","Kid(s)","RAINY",55,"10pm","Coffee House","2h",NA,"46","Married partner",1,"bachelors degree","Education&Training&Library","$75000 - $87499","","less1","1~3","1~3","1~3","less1","0",NA,0,NA,1,0
"Home","Alone","Snowy",55,"7am","Bar","1d","Male","46","Married partner",1,"high school graduate","Education&Training&Library","$75000 - $87499","","less1","1~3","1~3","1~3","less1","1",0,0,1,0,1
"Home","Alone","Rainy",55,"10AM","Restaurant(20-50)","1d","Male","46","Married partner",NA,"Bachelors Degree",NA,"$75000 - $87499","","less1","1~3","1~3","1~3","less1","1",1,0,0,1,0
"Home","Alone","sunny",80,"10AM","Coffee House","2h","Male","46","Married partner",1,"high school graduate","Education&Training&Library","$75000 - $87499","","less1","1~3","1~3","1~3",NA,"1",0,0,0,1,1
NA,"Alone","Rainy",55,"10PM",NA,"2h","Male","46","Married partner",1,"ASSOCIATES DEGREE","Education&Training&Library","$75000 - $87499","","less1","1~3",NA,"1~3","less1","1",1,1,0,1,0
"Work","Alone","sunny",55,"10PM","Bar","1d","Male","46","Married partner",NA,"High School Graduate","Education&Training&Library","$75000 - $87499","","less1",NA,"1~3","1~3","less1","0",1,1,NA,1,1
"Work","Alone","RAINY",80,"2PM","Restaurant(20-50)","1d","Male","46","Married partner",1,"high school graduate","Education&Training&Library","$75000 - $87499","","less1","1~3","1~3","1~3","less1","1",1,0,0,1,1
"Work","Alone","SUNNY",80,"10am","Carry out & Take away","2h","Male","46","Married partner",NA,"associates degree","Education&Training&Library","$75000 - $87499","","less1","1~3","1~3","1~3","less1","1",0,0,1,0,0
"Work","Alone","SUNNY",55,"10am","Restaurant(<20)","1d","Male","46","Married partner",1,"Some High School","Education&Training&Library","$75000 - $87499","","less1","1~3",NA,"1~3","less1","1",0,0,0,1,1
"Work","Alone","SUNNY",55,"6PM","Coffee House","2h",NA,"46","Married partner",1,"SOME COLLEGE - NO DEGREE","Education&Training&Library",NA,"",NA,"1~3",NA,"1~3","less1","1",1,0,0,1,0
"No Urgent Place","Alone","Snowy",55,"10AM","Restaurant(<20)","1d","Male","21","Single",0,"some college - no degree","Student","$12500 - $24999","","1~3","less1","1~3","less1","1~3","1",0,NA,0,1,0
"No Urgent Place","Friend(s)","SUNNY",80,"2pm","Coffee House","2h","Male","21","Single",0,"bachelors degree","Student","$12500 - $24999","","1~3","less1","1~3","less1","1~3","1",0,0,NA,1,1
NA,"Friend(s)","snowy",80,"10PM",NA,"1d","Male","21","Single",0,"Bachelors Degree","Student","$12500 - $24999","","1~3","less1","1~3","less1","1~3","1",NA,0,0,1,1
"No Urgent Place","Friend(s)","Snowy",80,"2PM","Carry out & Take away","2h","Male","21","Single",0,"BACHELORS DEGREE","Student","$12500 - $24999","",NA,"less1","1~3","less1","1~3","1",1,0,0,1,1
"No Urgent Place","Friend(s)","sunny",80,"10am","Coffee House","1d","Male","21","Single",0,"High School Graduate","Student","$12500 - $24999","","1~3","less1",NA,NA,"1~3","1",0,0,0,1,1
"No Urgent Place","Friend(s)","snowy",80,"6PM","Coffee House","2h","Male","21","Single",0,"BACHELORS DEGREE","Student","$12500 - $24999","","1~3","less1","1~3","less1",NA,"1",1,0,0,NA,1
NA,"Friend(s)","SUNNY",80,"2pm","Coffee House",NA,"Male","21","Single",0,"Some College - No Degree","Student","$12500 - $24999","","1~3",NA,"1~3","less1","1~3","1",1,0,0,1,1
"No Urgent Place","Friend(s)","SNOWY",NA,"6PM","Restaurant(<20)","1d","Male","21","Single",0,"some college - no degree",NA,"$12500 - $24999","","1~3","less1","1~3","less1","1~3","1",NA,0,0,1,NA
"No Urgent Place","Friend(s)","Rainy",80,"10AM","Coffee House",NA,"Male","21","Single",0,"ASSOCIATES DEGREE","Student","$12500 - $24999","","1~3","less1","1~3","less1","1~3","0",0,0,0,1,NA
NA,"Friend(s)","Sunny",80,"6PM","Restaurant(<20)","2h","Male","21","Single",0,"graduate degree (masters or doctorate)","Student",NA,"","1~3","less1","1~3","less1","1~3","1",1,0,0,1,1
NA,NA,"SUNNY",55,"10am",NA,"2h","Male","21","Single",0,"high school graduate","Student","$12500 - $24999","","1~3","less1","1~3","less1","1~3","0",0,0,0,1,1
"No Urgent Place","Friend(s)","Snowy",55,"7am","Carry out & Take away","1d","Male","21",NA,0,"BACHELORS DEGREE","Student","$12500 - $24999","",NA,"less1","1~3","less1","1~3","1",1,0,0,1,1
"No Urgent Place","Alone","Sunny",55,"6pm","Coffee House","2h","Male","21",NA,0,"SOME COLLEGE - NO DEGREE","Student","$12500 - $24999","","1~3","less1","1~3","less1","1~3","1",0,NA,0,1,1
"Home","Alone","SUNNY",55,"6PM","Bar","1d","Male","21","Single",NA,"Bachelors Degree","Student","$12500 - $24999","","1~3",NA,NA,"less1","1~3","1",0,NA,NA,0,1
"Home","Alone","rainy",55,"2pm","Restaurant(20-50)",NA,"Male","21","Single",0,"some college - no degree","Student","$12500 - $24999",NA,"1~3","less1","1~3",NA,NA,"1",1,0,0,NA,1
"Home","Alone","Rainy",80,"2pm","Coffee House","2h","Male","21","Single",NA,"ASSOCIATES DEGREE","Student","$12500 - $24999","","1~3","less1","1~3",NA,"1~3","1",0,0,0,1,1
"Work","Alone","sunny",55,"10am","Coffee House","2h","Male","21","Single",0,"some high school",NA,"$12500 - $24999","","1~3","less1","1~3","less1","1~3","0",1,1,0,1,1
"Work","Alone","SNOWY",55,"10AM","Bar","1d","Male","21",NA,0,"Some High School","Student","$12500 - $24999","","1~3","less1","1~3","less1","1~3","1",1,1,0,1,0
"Work",NA,"SUNNY",80,"7AM","Restaurant(20-50)","1d","Male","21","Single",0,"BACHELORS DEGREE","Student","$12500 - $24999","","1~3","less1","1~3","less1","1~3","1",1,0,NA,1,NA
"Work","Alone","SNOWY",80,"2PM",NA,"2h","Male","21","Single",0,"Some College - No Degree","Student","$12500 - $24999","","1~3","less1","1~3","less1","1~3","1",NA,NA,1,0,1
"Work","Alone","RAINY",NA,"6PM","Restaurant(<20)","1d","Male","21","Single",0,"graduate degree (masters or doctorate)","Student","$12500 - $24999","","1~3","less1","1~3","less1","1~3","1",0,0,NA,NA,1
"Work","Alone","sunny",55,"10PM","Coffee House","2h","Male","21","Single",0,"GRADUATE DEGREE (MASTERS OR DOCTORATE)","Student","$12500 - $24999","","1~3","less1","1~3","less1","1~3","1",1,0,0,1,1
"No Urgent Place","Alone","SNOWY",55,"2pm","Restaurant(<20)","1d","Male","26","Unmarried partner",0,"Associates Degree",NA,"$50000 - $62499","","1~3","gt8",NA,"1~3","less1","1",0,0,0,1,1
NA,"Friend(s)","Sunny",80,"10pm","Coffee House","2h","Male","26","Unmarried partner",0,"Graduate Degree (Masters or Doctorate)","Student","$50000 - $62499",NA,NA,"gt8","4~8","1~3",NA,"1",0,0,0,1,1
"No Urgent Place","Friend(s)","sunny",80,"6PM","Bar","1d","Male","26","Unmarried partner",0,"some high school","Student",NA,"","1~3","gt8","4~8","1~3","less1","1",0,NA,0,1,1
"No Urgent Place","Friend(s)","Snowy",80,"10pm","Carry out & Take away",NA,"Male","26","Unmarried partner",0,"Bachelors Degree","Student","$50000 - $62499","","1~3","gt8","4~8","1~3","less1","1",1,0,NA,1,0
"No Urgent Place","Friend(s)","SNOWY",80,"6PM","Coffee House","1d","Male","26","Unmarried partner",0,"Bachelors Degree","Student","$50000 - $62499","","1~3",NA,"4~8","1~3","less1","1",0,0,0,1,1
"No Urgent Place","Friend(s)","sunny",80,"6pm",NA,"2h","Male","26","Unmarried partner",0,"HIGH SCHOOL GRADUATE","Student","$50000 - $62499","","1~3","gt8","4~8","1~3","less1","1",1,0,0,1,NA
"No Urgent Place","Friend(s)","Rainy",80,"10PM","Coffee House","1d","Male","26","Unmarried partner",0,"ASSOCIATES DEGREE","Student","$50000 - $62499","",NA,"gt8","4~8",NA,"less1","1",1,0,0,1,1
"No Urgent Place","Friend(s)","SNOWY",80,"10pm","Restaurant(<20)","1d","Male","26","Unmarried partner",0,"some college - no degree","Student","$50000 - $62499","","1~3","gt8","4~8","1~3","less1","1",1,0,0,1,1
"No Urgent Place","Friend(s)","SNOWY",80,"6pm","Coffee House","2h","Male","26","Unmarried partner",0,"BACHELORS DEGREE","Student","$50000 - $62499","","1~3","gt8","4~8","1~3","less1","1",0,0,0,1,0
"No Urgent Place","Friend(s)","Snowy",80,"10am","Restaurant(<20)","2h","Male","26","Unmarried partner",0,"Bachelors Degree","Student","$50000 - $62499","","1~3","gt8","4~8",NA,"less1","1",1,0,0,1,NA
"No Urgent Place",NA,"RAINY",55,"2pm","Coffee House","2h","Male","26","Unmarried partner",0,"Bachelors Degree","Student","$50000 - $62499","","1~3","gt8","4~8","1~3","less1","0",0,0,0,1,0
"No Urgent Place","Friend(s)","SNOWY",NA,"7am","Carry out & Take away","1d","Male","26","Unmarried partner",0,"SOME HIGH SCHOOL","Student","$50000 - $62499","","1~3","gt8","4~8","1~3",NA,"1",1,0,0,1,1
"No Urgent Place","Alone","Sunny",NA,"7AM","Coffee House","2h","Male","26","Unmarried partner",0,"Some College - No Degree","Student","$50000 - $62499","","1~3","gt8","4~8","1~3","less1","1",0,0,0,1,NA
"Home",NA,"SUNNY",55,"6PM","Bar","1d","Male","26","Unmarried partner",0,"graduate degree (masters or doctorate)","Student","$50000 - $62499","","1~3","gt8","4~8","1~3",NA,"1",0,0,1,0,1
"Home","Alone","sunny",55,"10pm","Restaurant(20-50)","1d","Male",NA,"Unmarried partner",0,"high school graduate","Student","$50000 - $62499","","1~3","gt8","4~8","1~3",NA,"1",1,0,0,1,0
"Home","Alone","snowy",80,"10AM","Coffee House","2h","Male","26","Unmarried partner",0,"graduate degree (masters or doctorate)",NA,NA,"","1~3","gt8","4~8","1~3",NA,"1",0,0,0,1,0
"Work","Alone","rainy",55,"7am","Coffee House","2h","Male",NA,"Unmarried partner",0,"Bachelors Degree","Student","$50000 - $62499","","1~3","gt8","4~8","1~3","less1","1",1,1,0,1,1
"Work","Alone","Snowy",NA,"2pm","Bar","1d","Male","26","Unmarried partner",0,"Bachelors Degree",NA,"$50000 - $62499","","1~3","gt8",NA,"1~3","less1","1",1,1,0,1,1
"Work","Alone","Sunny",80,"10PM",NA,"1d","Male","26","Unmarried partner",0,"Some College - No Degree","Student",NA,"","1~3","gt8","4~8","1~3","less1","1",1,0,0,1,0
"Work","Alone","sunny",80,"2PM","Carry out & Take away","2h","Male","26","Unmarried partner",NA,"Some College - No Degree","Student","$50000 - $62499","",NA,"gt8","4~8","1~3","less1","1",0,0,1,0,1
"Work","Alone","SNOWY",55,"6pm","Restaurant(<20)","1d","Male","26","Unmarried partner",0,"high school graduate",NA,"$50000 - $62499","",NA,NA,"4~8","1~3","less1","1",0,0,0,1,1
"Work","Alone","snowy",55,"10am","Coffee House",NA,"Male","26","Unmarried partner",0,"graduate degree (masters or doctorate)",NA,"$50000 - $62499","","1~3","gt8",NA,"1~3","less1","1",1,0,0,1,1
"No Urgent Place","Alone","SUNNY",NA,"7am","Restaurant(<20)","1d","Female",NA,"Married partner",1,"Graduate Degree (Masters or Doctorate)","Unemployed","$62500 - $74999","","never","less1","gt8","4~8","never","0",0,0,NA,1,1
