"destination","passanger","weather","temperature","time","coupon","expiration","gender","age","maritalStatus","has_children","education","occupation","income","car","Bar","CoffeeHouse","CarryAway","RestaurantLessThan20","Restaurant20To50","toCoupon_GEQ5min","toCoupon_GEQ15min","toCoupon_GEQ25min","direction_same","direction_opp","Y"
"No Urgent Place","Friend(s)","sunny",80,"2pm","Carry out & Take away","2h","Male",21,"Single","0","graduate degree (masters or doctorate)","Education&Training&Library","$62500 - $74999","do not drive","never","less1","4~8","4~8","less1","1","1","0","0","1","0"
"No Urgent Place","Friend(s)","snowy",30,"6pm","Coffee House","1d","Male",21,"Single","0","graduate degree (masters or doctorate)","Architecture & Engineering","$62500 - $74999","Car that is too old to install Onstar :D","never","less1","4~8","4~8","less1","1","1","0","0","1","0"
"No Urgent Place","Friend(s)","sunny",80,"2pm","Coffee House","2h","Male",21,"Single","0","high school graduate","Unemployed","$62500 - $74999","Car that is too old to install Onstar :D","never","less1","4~8","less1","less1","1","1","0","0","1","0"
"No Urgent Place","Friend(s)","snowy",80,"10pm","Coffee House","1d","Male",21,"Single","0","some high school","Sales & Related","$62500 - $74999","Scooter and motorcycle","never","less1","4~8","4~8","less1","1","1","0","0","1","0"
"No Urgent Place","Friend(s)","snowy",80,"7am","Restaurant(<20)","1d","Male",26,"Unmarried partner","0","graduate degree (masters or doctorate)","Architecture & Engineering","$62500 - $74999","Scooter and motorcycle","never","less1","4~8","4~8","less1","1","1","0","0","1","1"
"No Urgent Place","Alone","sunny",80,"6pm","Coffee House","2h","Male",21,"Single","0","bachelors degree","Architecture & Engineering","$62500 - $74999","Scooter and motorcycle","never","less1","4~8","4~8","less1","1","0","0","0","1","0"
"No Urgent Place","Friend(s)","rainy",80,"2pm","Restaurant(<20)","2h","Male",21,"Single","0","some high school","Architecture & Engineering","$62500 - $74999","Car that is too old to install Onstar :D","never","less1","4~8","gt8","less1","1","1","0","0","1","1"
"No Urgent Place","Friend(s)","snowy",55,"7am","Coffee House","2h","Male",21,"Single","0","high school graduate","Architecture & Engineering","$62500 - $74999","Car that is too old to install Onstar :D","never","less1","4~8","4~8","less1","1","0","0","0","1","1"
"No Urgent Place","Friend(s)","sunny",55,"10pm","Carry out & Take away","1d","Male",21,"Single","0","some college - no degree","Architecture & Engineering","$62500 - $74999","do not drive","never","less1","1~3","4~8","less1","1","1","0","0","1","1"
"No Urgent Place","Alone","rainy",55,"2pm","Coffee House","2h","Male",21,"Single","0","some college - no degree","Architecture & Engineering","$62500 - $74999","Scooter and motorcycle","never","less1","4~8","4~8","less1","1","0","0","0","1","0"
"Home","Alone","rainy",80,"7am","Bar","1d","Male",21,"Married partner","0","high school graduate","Architecture & Engineering","$62500 - $74999","Mazda5","never","less1","4~8","4~8","less1","0","0","0","1","0","1"
"Home","Alone","sunny",55,"2pm","Restaurant(20-50)","2h","Male",21,"Single","0","some college - no degree","Architecture & Engineering","$62500 - $74999","Scooter and motorcycle","never","less1","4~8","4~8","less1","1","1","0","0","1","0"
"No Urgent Place","Alone","sunny",80,"6pm","Coffee House","2h","Male",21,"Single","0","graduate degree (masters or doctorate)","Architecture & Engineering","$62500 - $74999","Car that is too old to install Onstar :D","never","less1","4~8","4~8","less1","1","0","0","0","1","0"
"Work","Alone","snowy",55,"6pm","Coffee House","2h","Male",21,"Single","0","high school graduate","Architecture & Engineering","$62500 - $74999","Car that is too old to install Onstar :D","never","less1","4~8","4~8","less1","1","1","1","0","1","1"
"Work","Alone","snowy",55,"10pm","Bar","1d","Male",21,"Single","0","graduate degree (masters or doctorate)","Architecture & Engineering","$62500 - $74999","Car that is too old to install Onstar :D","1~3","less1","4~8","4~8","less1","1","1","1","0","1","1"
"Work","Alone","sunny",80,"6pm","Restaurant(20-50)","1d","Male",21,"Single","0","some college - no degree","Architecture & Engineering","$62500 - $74999","Scooter and motorcycle","never","less1","4~8","1~3","less1","1","1","0","0","1","0"
"Work","Alone","snowy",80,"2pm","Restaurant(<20)","2h","Male",21,"Single","0","some high school","Unemployed","$62500 - $74999","Car that is too old to install Onstar :D","never","less1","less1","4~8","less1","1","0","0","1","0","1"
"Work","Alone","snowy",55,"2pm","Restaurant(<20)","1d","Male",21,"Single","0","high school graduate","Architecture & Engineering","$62500 - $74999","Car that is too old to install Onstar :D","never","less1","4~8","4~8","less1","1","0","0","0","1","1"
"Work","Alone","sunny",55,"2pm","Coffee House","2h","Male",21,"Single","0","associates degree","Architecture & Engineering","$62500 - $74999","Car that is too old to install Onstar :D","never","less1","4~8","4~8","less1","1","1","0","0","1","0"
"No Urgent Place","Alone","snowy",55,"2pm","Restaurant(<20)","1d","Male",46,"Single","0","some high school","Student","$12500 - $24999","Car that is too old to install Onstar :D","never","4~8","1~3","1~3","never","1","0","0","0","1","0"
"No Urgent Place","Friend(s)","snowy",80,"10am","Coffee House","2h","Male",46,"Single","0","high school graduate","Student","$12500 - $24999","Scooter and motorcycle","never","4~8","1~3","1~3","never","1","1","0","0","1","1"
"No Urgent Place","Friend(s)","sunny",80,"2pm","Bar","1d","Male",46,"Single","0","some high school","Student","$12500 - $24999","Scooter and motorcycle","never","4~8","1~3","1~3","never","1","0","0","0","1","0"
"No Urgent Place","Alone","rainy",80,"10pm","Carry out & Take away","2h","Male",46,"Single","0","bachelors degree","Student","$12500 - $24999","Scooter and motorcycle","never","4~8","1~3","1~3","less1","1","1","0","0","1","1"
"No Urgent Place","Friend(s)","snowy",80,"6pm","Coffee House","1d","Male",46,"Single","1","some high school","Student","$12500 - $24999","Scooter and motorcycle","less1","4~8","1~3","1~3","never","1","0","0","0","1","1"
"No Urgent Place","Friend(s)","rainy",80,"10pm","Coffee House","2h","Male",46,"Married partner","0","bachelors degree","Student","$12500 - $24999","Scooter and motorcycle","never","4~8","1~3","1~3","never","1","1","0","0","1","1"
"No Urgent Place","Friend(s)","rainy",80,"7am","Coffee House","1d","Male",46,"Single","0","associates degree","Student","$12500 - $24999","Scooter and motorcycle","never","4~8","1~3","1~3","never","0","0","0","0","1","0"
"No Urgent Place","Friend(s)","rainy",80,"7am","Restaurant(<20)","1d","Male",46,"Single","0","high school graduate","Student","$12500 - $24999","Scooter and motorcycle","never","4~8","1~3","1~3","never","1","1","0","0","1","1"
"No Urgent Place","Friend(s)","snowy",55,"10am","Coffee House","2h","Male",46,"Married partner","1","associates degree","Student","$12500 - $24999","Scooter and motorcycle","never","4~8","1~3","1~3","never","1","0","0","0","1","0"
"No Urgent Place","Friend(s)","snowy",80,"2pm","Restaurant(<20)","2h","Male",46,"Single","0","graduate degree (masters or doctorate)","Student","$12500 - $24999","Scooter and motorcycle","never","4~8","1~3","1~3","never","1","1","0","0","1","1"
"No Urgent Place","Friend(s)","snowy",55,"10pm","Coffee House","2h","Male",46,"Single","0","some college - no degree","Student","$12500 - $24999","Scooter and motorcycle","never","4~8","1~3","gt8","never","1","0","0","0","1","1"
"No Urgent Place","Friend(s)","rainy",30,"7am","Carry out & Take away","1d","Male",46,"Single","0","bachelors degree","Student","$12500 - $24999","Scooter and motorcycle","never","4~8","1~3","less1","never","1","1","0","0","1","1"
"Work","Alone","sunny",55,"6pm","Coffee House","2h","Male",26,"Single","0","high school graduate","Student","$12500 - $24999","Car that is too old to install Onstar :D","never","4~8","1~3","less1","never","1","1","0","0","1","1"
"Home","Alone","snowy",55,"10am","Bar","1d","Male",46,"Single","0","some high school","Student","$12500 - $24999","Scooter and motorcycle","never","4~8","1~3","1~3","never","1","0","0","1","0","0"
"Home","Alone","snowy",55,"10am","Restaurant(20-50)","1d","Male",46,"Single","0","some high school","Student","$12500 - $24999","Scooter and motorcycle","never","4~8","4~8","gt8","never","1","1","0","0","1","0"
"No Urgent Place","Alone","sunny",80,"7am","Coffee House","2h","Male",46,"Unmarried partner","1","high school graduate","Student","$12500 - $24999","Scooter and motorcycle","never","4~8","1~3","1~3","never","1","0","0","0","1","0"
"Work","Alone","sunny",55,"10pm","Coffee House","2h","Male",46,"Single","0","high school graduate","Student","$12500 - $24999","Scooter and motorcycle","never","4~8","1~3","1~3","never","1","1","1","0","1","0"
"Work","Alone","sunny",55,"2pm","Restaurant(<20)","1d","Male",46,"Single","0","graduate degree (masters or doctorate)","Student","$12500 - $24999","Scooter and motorcycle","never","4~8","1~3","1~3","never","1","1","1","0","1","0"
"Work","Alone","rainy",80,"2pm","Restaurant(20-50)","1d","Male",46,"Single","0","some high school","Unemployed","$12500 - $24999","Scooter and motorcycle","never","4~8","1~3","1~3","never","1","1","0","0","1","0"
"Work","Alone","sunny",80,"6pm","Carry out & Take away","2h","Female",46,"Single","0","bachelors degree","Student","$12500 - $24999","Scooter and motorcycle","never","4~8","1~3","1~3","never","1","0","0","1","0","1"
"Work","Alone","sunny",55,"10pm","Restaurant(<20)","1d","Female",46,"Divorced","0","bachelors degree","Student","$25000 - $37499","Scooter and motorcycle","never","4~8","1~3","1~3","never","1","0","0","0","1","0"
"Work","Alone","rainy",55,"7am","Coffee House","2h","Male",46,"Single","0","some college - no degree","Student","$12500 - $24999","Scooter and motorcycle","never","4~8","1~3","1~3","never","0","1","0","0","1","0"
"No Urgent Place","Alone","sunny",55,"6pm","Restaurant(<20)","1d","Male",46,"Married partner","1","high school graduate","Education&Training&Library","$75000 - $87499","Mazda5","less1","1~3","1~3","1~3","less1","1","0","0","0","1","1"
"No Urgent Place","Friend(s)","rainy",80,"10am","Coffee House","2h","Male",46,"Married partner","1","graduate degree (masters or doctorate)","Education&Training&Library","$75000 - $87499","crossover","less1","1~3","1~3","1~3","less1","1","0","0","0","1","1"
"No Urgent Place","Friend(s)","sunny",80,"6pm","Carry out & Take away","2h","Male",46,"Married partner","1","high school graduate","Education&Training&Library","$75000 - $87499","Mazda5","less1","1~3","1~3","1~3","less1","1","1","0","0","1","1"
"No Urgent Place","Friend(s)","snowy",80,"10am","Coffee House","2h","Male",31,"Married partner","0","associates degree","Education&Training&Library","$75000 - $87499","crossover","less1","1~3","1~3","1~3","less1","1","1","0","0","1","1"
"No Urgent Place","Friend(s)","snowy",80,"6pm","Coffee House","1d","Male",46,"Married partner","1","bachelors degree","Education&Training&Library","$75000 - $87499","crossover","less1","1~3","1~3","1~3","less1","1","1","0","0","1","1"
"No Urgent Place","Friend(s)","snowy",80,"7am","Carry out & Take away","2h","Male",46,"Single","1","high school graduate","Transportation & Material Moving","$75000 - $87499","crossover","less1","gt8","1~3","1~3","less1","1","1","0","0","1","1"
"No Urgent Place","Friend(s)","sunny",55,"6pm","Carry out & Take away","1d","Male",46,"Married partner","1","graduate degree (masters or doctorate)","Education&Training&Library","$75000 - $87499","do not drive","less1","1~3","1~3","1~3","less1","1","1","0","0","1","1"
"No Urgent Place","Alone","rainy",80,"7am","Restaurant(<20)","2h","Male",31,"Married partner","1","associates degree","Education&Training&Library","$75000 - $87499","Mazda5","less1","1~3","1~3","1~3","less1","1","1","0","0","1","1"
"No Urgent Place","Kid(s)","rainy",80,"10pm","Carry out & Take away","2h","Male",46,"Married partner","1","bachelors degree","Education&Training&Library","$75000 - $87499","crossover","less1","1~3","gt8","1~3","less1","1","1","0","0","1","1"
"No Urgent Place","Kid(s)","rainy",80,"6pm","Bar","1d","Male",46,"Married partner","1","associates degree","Education&Training&Library","$75000 - $87499","crossover","less1","1~3","1~3","1~3","less1","1","1","0","0","1","1"
"No Urgent Place","Kid(s)","snowy",80,"6pm","Restaurant(<20)","1d","Male",46,"Married partner","1","associates degree","Education&Training&Library","$75000 - $87499","crossover","less1","1~3","1~3","1~3","less1","1","1","0","0","1","1"
"No Urgent Place","Friend(s)","snowy",55,"10pm","Restaurant(<20)","1d","Male",46,"Married partner","1","high school graduate","Education&Training&Library","$75000 - $87499","Car that is too old to install Onstar :D","less1","1~3","1~3","1~3","less1","1","1","0","0","1","1"
"No Urgent Place","Kid(s)","rainy",55,"10pm","Coffee House","2h","Female",46,"Married partner","1","bachelors degree","Education&Training&Library","$75000 - $87499","crossover","less1","1~3","1~3","1~3","less1","0","0","0","0","1","0"
"Home","Alone","snowy",55,"7am","Bar","1d","Male",46,"Married partner","1","high school graduate","Education&Training&Library","$75000 - $87499","Mazda5","less1","1~3","1~3","1~3","less1","1","0","0","1","0","1"
"Home","Alone","rainy",55,"10am","Restaurant(20-50)","1d","Male",46,"Married partner","1","bachelors degree","Business & Financial","$75000 - $87499","crossover","less1","1~3","1~3","1~3","less1","1","1","0","0","1","0"
"Home","Alone","sunny",80,"10am","Coffee House","2h","Male",46,"Married partner","1","high school graduate","Education&Training&Library","$75000 - $87499","crossover","less1","1~3","1~3","1~3","1~3","1","0","0","0","1","1"
"Work","Alone","rainy",55,"10pm","Bar","2h","Male",46,"Married partner","1","associates degree","Education&Training&Library","$75000 - $87499","Mazda5","less1","1~3","1~3","1~3","less1","1","1","1","0","1","0"
"Work","Alone","sunny",55,"10pm","Bar","1d","Male",46,"Married partner","1","high school graduate","Education&Training&Library","$75000 - $87499","crossover","less1","1~3","1~3","1~3","less1","0","1","1","0","1","1"
"Work","Alone","rainy",80,"2pm","Restaurant(20-50)","1d","Male",46,"Married partner","1","high school graduate","Education&Training&Library","$75000 - $87499","do not drive","less1","1~3","1~3","1~3","less1","1","1","0","0","1","1"
"Work","Alone","sunny",80,"10am","Carry out & Take away","2h","Male",46,"Married partner","0","associates degree","Education&Training&Library","$75000 - $87499","do not drive","less1","1~3","1~3","1~3","less1","1","0","0","1","0","0"
"Work","Alone","sunny",55,"10am","Restaurant(<20)","1d","Male",46,"Married partner","1","some high school","Education&Training&Library","$75000 - $87499","Mazda5","less1","1~3","4~8","1~3","less1","1","0","0","0","1","1"
"Work","Alone","sunny",55,"6pm","Coffee House","2h","Female",46,"Married partner","1","some college - no degree","Education&Training&Library","$50000 - $62499","crossover","never","1~3","1~3","1~3","less1","1","1","0","0","1","0"
"No Urgent Place","Alone","snowy",55,"10am","Restaurant(<20)","1d","Male",21,"Single","0","some college - no degree","Student","$12500 - $24999","Scooter and motorcycle","1~3","less1","1~3","less1","1~3","1","0","0","0","1","0"
"No Urgent Place","Friend(s)","sunny",80,"2pm","Coffee House","2h","Male",21,"Single","0","bachelors degree","Student","$12500 - $24999","Scooter and motorcycle","1~3","less1","1~3","less1","1~3","1","0","0","0","1","1"
"No Urgent Place","Friend(s)","snowy",80,"10pm","Restaurant(<20)","1d","Male",21,"Single","0","bachelors degree","Student","$12500 - $24999","Scooter and motorcycle","1~3","less1","1~3","less1","1~3","1","1","0","0","1","1"
"No Urgent Place","Friend(s)","snowy",80,"2pm","Carry out & Take away","2h","Male",21,"Single","0","bachelors degree","Student","$12500 - $24999","Scooter and motorcycle","never","less1","1~3","less1","1~3","1","1","0","0","1","1"
"No Urgent Place","Friend(s)","sunny",80,"10am","Coffee House","1d","Male",21,"Single","0","high school graduate","Student","$12500 - $24999","Scooter and motorcycle","1~3","less1","1~3","less1","1~3","1","0","0","0","1","1"
"No Urgent Place","Friend(s)","snowy",80,"6pm","Coffee House","2h","Male",21,"Single","0","bachelors degree","Student","$12500 - $24999","Scooter and motorcycle","1~3","less1","1~3","less1","1~3","1","1","0","0","1","1"
"No Urgent Place","Friend(s)","sunny",80,"2pm","Coffee House","2h","Male",21,"Single","0","some college - no degree","Student","$12500 - $24999","Scooter and motorcycle","1~3","4~8","1~3","less1","1~3","1","1","0","0","1","1"
"No Urgent Place","Friend(s)","snowy",30,"6pm","Restaurant(<20)","1d","Male",21,"Single","0","some college - no degree","Unemployed","$12500 - $24999","Scooter and motorcycle","1~3","less1","1~3","less1","1~3","1","1","0","0","1","0"
"No Urgent Place","Friend(s)","rainy",80,"10am","Coffee House","1d","Male",21,"Single","0","associates degree","Student","$12500 - $24999","Scooter and motorcycle","1~3","less1","1~3","less1","1~3","0","0","0","0","1","1"
"No Urgent Place","Friend(s)","sunny",80,"6pm","Restaurant(<20)","2h","Male",21,"Single","0","graduate degree (masters or doctorate)","Student","$12500 - $24999","Scooter and motorcycle","1~3","less1","1~3","less1","1~3","1","1","0","0","1","1"
"No Urgent Place","Friend(s)","sunny",55,"10am","Coffee House","2h","Male",21,"Single","0","high school graduate","Student","$12500 - $24999","Scooter and motorcycle","1~3","less1","1~3","less1","1~3","0","0","0","0","1","1"
"No Urgent Place","Friend(s)","snowy",55,"7am","Carry out & Take away","1d","Male",21,"Married partner","0","bachelors degree","Student","$12500 - $24999","do not drive","less1","less1","1~3","less1","1~3","1","1","0","0","1","1"
"No Urgent Place","Alone","sunny",55,"6pm","Coffee House","2h","Male",21,"Single","0","some college - no degree","Student","$12500 - $24999","Scooter and motorcycle","1~3","less1","1~3","less1","1~3","1","0","0","0","1","1"
"Home","Alone","sunny",55,"6pm","Bar","1d","Male",21,"Single","0","bachelors degree","Student","$12500 - $24999","Scooter and motorcycle","1~3","4~8","1~3","less1","1~3","1","0","0","1","0","1"
"Home","Alone","rainy",55,"2pm","Restaurant(20-50)","2h","Male",21,"Single","0","some college - no degree","Student","$12500 - $24999","Scooter and motorcycle","1~3","less1","1~3","1~3","less1","1","1","0","0","1","1"
"Home","Alone","rainy",80,"2pm","Coffee House","2h","Male",21,"Single","0","associates degree","Student","$12500 - $24999","Scooter and motorcycle","1~3","less1","1~3","4~8","1~3","1","0","0","0","1","1"
"Work","Alone","sunny",55,"10am","Coffee House","2h","Male",21,"Single","0","some high school","Student","$12500 - $24999","Scooter and motorcycle","1~3","less1","1~3","less1","1~3","0","1","1","0","1","1"
"Work","Alone","snowy",55,"10am","Bar","1d","Male",21,"Unmarried partner","0","some high school","Student","$12500 - $24999","Scooter and motorcycle","1~3","less1","1~3","less1","1~3","1","1","1","0","1","0"
"Work","Alone","sunny",80,"7am","Restaurant(20-50)","1d","Male",21,"Single","0","bachelors degree","Student","$12500 - $24999","Scooter and motorcycle","1~3","less1","1~3","less1","1~3","1","1","0","0","1","0"
"Work","Alone","snowy",80,"2pm","Restaurant(<20)","2h","Male",21,"Single","0","some college - no degree","Student","$12500 - $24999","Scooter and motorcycle","1~3","less1","1~3","less1","1~3","1","0","0","1","0","1"
"Work","Alone","rainy",80,"6pm","Restaurant(<20)","1d","Male",21,"Single","0","graduate degree (masters or doctorate)","Student","$12500 - $24999","Scooter and motorcycle","1~3","less1","1~3","less1","1~3","1","0","0","1","0","1"
"Work","Alone","sunny",55,"10pm","Coffee House","2h","Male",21,"Single","0","graduate degree (masters or doctorate)","Student","$12500 - $24999","Scooter and motorcycle","1~3","less1","1~3","less1","1~3","1","1","0","0","1","1"
"No Urgent Place","Alone","snowy",55,"2pm","Restaurant(<20)","1d","Male",26,"Unmarried partner","0","associates degree","Student","$50000 - $62499","Mazda5","1~3","gt8","4~8","1~3","less1","1","0","0","0","1","1"
"No Urgent Place","Friend(s)","sunny",80,"10pm","Coffee House","2h","Male",26,"Unmarried partner","0","graduate degree (masters or doctorate)","Student","$50000 - $62499","Scooter and motorcycle","less1","gt8","4~8","1~3","less1","1","0","0","0","1","1"
"No Urgent Place","Friend(s)","sunny",80,"6pm","Bar","1d","Male",26,"Unmarried partner","0","some high school","Student","$100000 or More","Car that is too old to install Onstar :D","1~3","gt8","4~8","1~3","less1","1","0","0","0","1","1"
"No Urgent Place","Friend(s)","snowy",80,"10pm","Carry out & Take away","1d","Male",26,"Unmarried partner","0","bachelors degree","Student","$50000 - $62499","Car that is too old to install Onstar :D","1~3","gt8","4~8","1~3","less1","1","1","0","0","1","0"
"No Urgent Place","Friend(s)","snowy",80,"6pm","Coffee House","1d","Male",26,"Unmarried partner","0","bachelors degree","Student","$50000 - $62499","Scooter and motorcycle","1~3","4~8","4~8","1~3","less1","1","0","0","0","1","1"
"No Urgent Place","Friend(s)","sunny",80,"6pm","Coffee House","2h","Male",26,"Unmarried partner","0","high school graduate","Student","$50000 - $62499","Car that is too old to install Onstar :D","1~3","gt8","4~8","1~3","less1","1","1","0","0","1","0"
"No Urgent Place","Friend(s)","rainy",80,"10pm","Coffee House","1d","Male",26,"Unmarried partner","0","associates degree","Student","$50000 - $62499","Mazda5","1~3","gt8","4~8","1~3","less1","1","1","0","0","1","1"
"No Urgent Place","Friend(s)","snowy",80,"10pm","Restaurant(<20)","1d","Male",26,"Unmarried partner","0","some college - no degree","Student","$50000 - $62499","Car that is too old to install Onstar :D","1~3","gt8","4~8","1~3","less1","1","1","0","0","1","1"
"No Urgent Place","Friend(s)","snowy",80,"6pm","Coffee House","2h","Male",26,"Unmarried partner","0","bachelors degree","Student","$50000 - $62499","Car that is too old to install Onstar :D","1~3","gt8","4~8","1~3","less1","1","0","0","0","1","0"
"No Urgent Place","Friend(s)","snowy",80,"10am","Restaurant(<20)","2h","Male",26,"Unmarried partner","0","bachelors degree","Student","$50000 - $62499","Mazda5","1~3","gt8","4~8","gt8","less1","1","1","0","0","1","0"
"No Urgent Place","Friend(s)","rainy",55,"2pm","Coffee House","2h","Male",26,"Unmarried partner","0","bachelors degree","Student","$50000 - $62499","Car that is too old to install Onstar :D","1~3","gt8","4~8","1~3","less1","0","0","0","0","1","0"
"No Urgent Place","Friend(s)","snowy",30,"7am","Carry out & Take away","1d","Male",26,"Unmarried partner","0","some high school","Student","$50000 - $62499","Mazda5","1~3","gt8","4~8","1~3","less1","1","1","0","0","1","1"
"No Urgent Place","Alone","sunny",80,"7am","Coffee House","2h","Male",26,"Unmarried partner","0","some college - no degree","Student","$50000 - $62499","Mazda5","1~3","gt8","4~8","1~3","less1","1","0","0","0","1","0"
"Home","Alone","sunny",55,"6pm","Bar","1d","Male",26,"Unmarried partner","0","graduate degree (masters or doctorate)","Student","$50000 - $62499","Mazda5","1~3","gt8","4~8","1~3","1~3","1","0","0","1","0","1"
